key,value
worker.move_speed_tiles_per_second,1
worker.work_seconds,8
worker.carry,1
townhall_cycle.cycle_seconds,10
townhall_cycle.tap_boost_seconds,2
townhall_cycle.silver_per_population,5
offline_cap_hours,8
fog.silver_per_tap,1
fog.fallback_growth,1.25
city.initial_population,2
city.initial_silver,50
city.initial_food,5
city.population_cost_base,5
city.population_cost_growth,1.45
city.build_queue_capacity,1
city.max_army_power_per_townhall_level,10|20|30
kingdom.start_builders,1
kingdom.max_builders,4
kingdom.mana_per_hour,300
